dataset,method,num_trees,iter,decision_tree,description,num_examples,max_tree_depth,temperature,split,accuracy,f1_score
acl,gpt-4o,5,0,True,False,1,2,1,33/67,0.6071428571428571,0.486815415821501
acl,gpt-4o,5,1,True,False,1,2,1,33/67,0.6931818181818181,0.6933333333333334
acl,gpt-4o,5,2,True,False,1,2,1,33/67,0.4318181818181818,0.43047619047619046
acl,gpt-4o,5,3,True,False,1,2,1,33/67,0.7658730158730158,0.7386363636363636
acl,gpt-4o,5,4,True,False,1,2,1,33/67,0.8346153846153846,0.8257575757575758
acl,gpt-4o,5,0,True,False,1,2,1,50/50,0.6666666666666666,0.6136363636363636
acl,gpt-4o,5,1,True,False,1,2,1,50/50,0.6857142857142857,0.6886446886446886
acl,gpt-4o,5,2,True,False,1,2,1,50/50,0.36428571428571427,0.35294117647058826
acl,gpt-4o,5,3,True,False,1,2,1,50/50,0.7785714285714285,0.7638888888888888
acl,gpt-4o,5,4,True,False,1,2,1,50/50,0.8263888888888888,0.8235294117647058
acl,gpt-4o,5,0,True,False,1,2,1,67/33,0.8,0.8125
acl,gpt-4o,5,1,True,False,1,2,1,67/33,0.6571428571428571,0.6571428571428571
acl,gpt-4o,5,2,True,False,1,2,1,67/33,0.375,0.3333333333333333
acl,gpt-4o,5,3,True,False,1,2,1,67/33,0.6875,0.6571428571428571
acl,gpt-4o,5,4,True,False,1,2,1,67/33,0.8571428571428572,0.8333333333333334
acl,gpt-4o,5,0,True,False,2,2,1,33/67,0.4563492063492064,0.43478260869565216
acl,gpt-4o,5,1,True,False,2,2,1,33/67,0.4015151515151515,0.3611111111111111
acl,gpt-4o,5,2,True,False,2,2,1,33/67,0.5909090909090909,0.5174825174825175
acl,gpt-4o,5,3,True,False,2,2,1,33/67,0.5357142857142857,0.35698924731182796
acl,gpt-4o,5,4,True,False,2,2,1,33/67,0.5,0.30303030303030304
acl,gpt-4o,5,0,True,False,2,2,1,50/50,0.4722222222222222,0.47058823529411764
acl,gpt-4o,5,1,True,False,2,2,1,50/50,0.3857142857142857,0.343859649122807
acl,gpt-4o,5,2,True,False,2,2,1,50/50,0.6,0.48484848484848486
acl,gpt-4o,5,3,True,False,2,2,1,50/50,0.55,0.3952569169960475
acl,gpt-4o,5,4,True,False,2,2,1,50/50,0.5,0.32
acl,gpt-4o,5,0,True,False,2,2,1,67/33,0.4857142857142857,0.4857142857142857
acl,gpt-4o,5,1,True,False,2,2,1,67/33,0.37142857142857144,0.3142857142857143
acl,gpt-4o,5,2,True,False,2,2,1,67/33,0.625,0.4857142857142857
acl,gpt-4o,5,3,True,False,2,2,1,67/33,0.5625,0.37777777777777777
acl,gpt-4o,5,4,True,False,2,2,1,67/33,0.5,0.29411764705882354
acl,gpt-4o,5,0,True,False,3,2,1,33/67,0.4007936507936508,0.39015151515151514
acl,gpt-4o,5,1,True,False,3,2,1,33/67,0.5,0.34285714285714286
acl,gpt-4o,5,2,True,False,3,2,1,33/67,0.5,0.34285714285714286
acl,gpt-4o,5,3,True,False,3,2,1,33/67,0.5714285714285714,0.425
acl,gpt-4o,5,4,True,False,3,2,1,33/67,0.5,0.30303030303030304
acl,gpt-4o,5,0,True,False,3,2,1,50/50,0.4722222222222222,0.47058823529411764
acl,gpt-4o,5,1,True,False,3,2,1,50/50,0.5,0.37037037037037035
acl,gpt-4o,5,2,True,False,3,2,1,50/50,0.5,0.2916666666666667
acl,gpt-4o,5,3,True,False,3,2,1,50/50,0.6,0.48484848484848486
acl,gpt-4o,5,4,True,False,3,2,1,50/50,0.5,0.32
acl,gpt-4o,5,0,True,False,3,2,1,67/33,0.4857142857142857,0.4857142857142857
acl,gpt-4o,5,1,True,False,3,2,1,67/33,0.5,0.3684210526315789
acl,gpt-4o,5,2,True,False,3,2,1,67/33,0.5,0.25
acl,gpt-4o,5,3,True,False,3,2,1,67/33,0.625,0.4857142857142857
acl,gpt-4o,5,4,True,False,3,2,1,67/33,0.5,0.29411764705882354
acl,gpt-o1,5,0,True,False,1,2,1,33/67,0.4920634920634921,0.4772727272727273
acl,gpt-o1,5,1,True,False,1,2,1,33/67,0.43939393939393934,0.43047619047619046
acl,gpt-o1,5,2,True,False,1,2,1,33/67,0.6136363636363636,0.6057142857142856
acl,gpt-o1,5,3,True,False,1,2,1,33/67,0.5277777777777778,0.5180952380952382
acl,gpt-o1,5,4,True,False,1,2,1,33/67,0.4307692307692308,0.43047619047619046
