dataset,method,num_trees,iter,decision_tree,description,num_examples,max_tree_depth,temperature,split,accuracy,f1_score
acl,claude,5,0,True,False,1,1,1,33/67,0.5,0.3783783783783784
acl,claude,5,1,True,False,1,1,1,33/67,0.5454545454545454,0.4362745098039216
acl,claude,5,2,True,False,1,1,1,33/67,0.5,0.3235294117647059
acl,claude,5,3,True,False,1,1,1,33/67,0.5119047619047619,0.4772727272727273
acl,claude,5,4,True,False,1,1,1,33/67,0.5,0.3611111111111111
acl,claude,5,0,True,False,1,1,1,50/50,0.5,0.34615384615384615
acl,claude,5,1,True,False,1,1,1,50/50,0.5714285714285714,0.5096153846153846
acl,claude,5,2,True,False,1,1,1,50/50,0.5,0.37037037037037035
acl,claude,5,3,True,False,1,1,1,50/50,0.5071428571428571,0.4631578947368421
acl,claude,5,4,True,False,1,1,1,50/50,0.5,0.34615384615384615
acl,claude,5,0,True,False,1,1,1,67/33,0.5,0.29411764705882354
acl,claude,5,1,True,False,1,1,1,67/33,0.6,0.5555555555555556
acl,claude,5,2,True,False,1,1,1,67/33,0.5,0.4
acl,claude,5,3,True,False,1,1,1,67/33,0.375,0.3333333333333333
acl,claude,5,4,True,False,1,1,1,67/33,0.5,0.3684210526315789
acl,claude,5,0,True,False,1,2,1,33/67,0.5357142857142857,0.35698924731182796
acl,claude,5,1,True,False,1,2,1,33/67,0.5454545454545454,0.4362745098039216
acl,claude,5,2,True,False,1,2,1,33/67,0.5,0.34285714285714286
acl,claude,5,3,True,False,1,2,1,33/67,0.5357142857142857,0.35698924731182796
acl,claude,5,4,True,False,1,2,1,33/67,0.5384615384615384,0.3839285714285714
acl,claude,5,0,True,False,1,2,1,50/50,0.5555555555555556,0.43333333333333335
acl,claude,5,1,True,False,1,2,1,50/50,0.5714285714285714,0.5096153846153846
acl,claude,5,2,True,False,1,2,1,50/50,0.5,0.2916666666666667
acl,claude,5,3,True,False,1,2,1,50/50,0.55,0.3952569169960475
acl,claude,5,4,True,False,1,2,1,50/50,0.5555555555555556,0.43333333333333335
acl,claude,5,0,True,False,1,2,1,67/33,0.6,0.5555555555555556
acl,claude,5,1,True,False,1,2,1,67/33,0.6,0.5555555555555556
acl,claude,5,2,True,False,1,2,1,67/33,0.5,0.25
acl,claude,5,3,True,False,1,2,1,67/33,0.5625,0.37777777777777777
acl,claude,5,4,True,False,1,2,1,67/33,0.5714285714285714,0.4375
acl,claude,5,0,True,False,1,3,1,33/67,0.5119047619047619,0.4772727272727273
acl,claude,5,1,True,False,1,3,1,33/67,0.5454545454545454,0.4362745098039216
acl,claude,5,2,True,False,1,3,1,33/67,0.5,0.34285714285714286
acl,claude,5,3,True,False,1,3,1,33/67,0.5357142857142857,0.35698924731182796
acl,claude,5,4,True,False,1,3,1,33/67,0.5384615384615384,0.3839285714285714
acl,claude,5,0,True,False,1,3,1,50/50,0.5416666666666666,0.5142857142857142
acl,claude,5,1,True,False,1,3,1,50/50,0.5714285714285714,0.5096153846153846
acl,claude,5,2,True,False,1,3,1,50/50,0.5,0.2916666666666667
acl,claude,5,3,True,False,1,3,1,50/50,0.55,0.3952569169960475
acl,claude,5,4,True,False,1,3,1,50/50,0.5555555555555556,0.43333333333333335
acl,claude,5,0,True,False,1,3,1,67/33,0.5571428571428572,0.5555555555555556
acl,claude,5,1,True,False,1,3,1,67/33,0.6,0.5555555555555556
acl,claude,5,2,True,False,1,3,1,67/33,0.5,0.25
acl,claude,5,3,True,False,1,3,1,67/33,0.5625,0.37777777777777777
acl,claude,5,4,True,False,1,3,1,67/33,0.5714285714285714,0.4375
acl,claude,5,0,True,False,1,4,1,33/67,0.5357142857142857,0.35698924731182796
acl,claude,5,1,True,False,1,4,1,33/67,0.5,0.34285714285714286
acl,claude,5,2,True,False,1,4,1,33/67,0.5,0.34285714285714286
acl,claude,5,3,True,False,1,4,1,33/67,0.5,0.28125
acl,claude,5,4,True,False,1,4,1,33/67,0.5384615384615384,0.3839285714285714
acl,claude,5,0,True,False,1,4,1,50/50,0.5555555555555556,0.43333333333333335
acl,claude,5,1,True,False,1,4,1,50/50,0.5,0.37037037037037035
acl,claude,5,2,True,False,1,4,1,50/50,0.5,0.2916666666666667
acl,claude,5,3,True,False,1,4,1,50/50,0.5,0.2916666666666667
acl,claude,5,4,True,False,1,4,1,50/50,0.5555555555555556,0.43333333333333335
acl,claude,5,0,True,False,1,4,1,67/33,0.6,0.5555555555555556
acl,claude,5,1,True,False,1,4,1,67/33,0.5,0.3684210526315789
acl,claude,5,2,True,False,1,4,1,67/33,0.5,0.25
acl,claude,5,3,True,False,1,4,1,67/33,0.5,0.25
acl,claude,5,4,True,False,1,4,1,67/33,0.5714285714285714,0.4375
acl,claude,5,0,True,False,1,5,1,33/67,0.6031746031746031,0.5643939393939394
acl,claude,5,1,True,False,1,5,1,33/67,0.5,0.34285714285714286
acl,claude,5,2,True,False,1,5,1,33/67,0.5,0.34285714285714286
acl,claude,5,3,True,False,1,5,1,33/67,0.5238095238095238,0.5208333333333333
acl,claude,5,4,True,False,1,5,1,33/67,0.6692307692307693,0.6515151515151515
acl,claude,5,0,True,False,1,5,1,50/50,0.7083333333333333,0.7058823529411765
acl,claude,5,1,True,False,1,5,1,50/50,0.5,0.37037037037037035
acl,claude,5,2,True,False,1,5,1,50/50,0.5,0.2916666666666667
acl,claude,5,3,True,False,1,5,1,50/50,0.4928571428571428,0.48484848484848486
acl,claude,5,4,True,False,1,5,1,50/50,0.7152777777777778,0.7017543859649122
acl,claude,5,0,True,False,1,5,1,67/33,0.7571428571428571,0.7482517482517483
acl,claude,5,1,True,False,1,5,1,67/33,0.5,0.3684210526315789
acl,claude,5,2,True,False,1,5,1,67/33,0.5,0.25
acl,claude,5,3,True,False,1,5,1,67/33,0.4375,0.4375
acl,claude,5,4,True,False,1,5,1,67/33,0.6857142857142857,0.6666666666666666
acl,gemini,5,0,True,False,1,1,1,33/67,0.4642857142857143,0.3611111111111111
acl,gemini,5,1,True,False,1,1,1,33/67,0.5,0.3235294117647059
acl,gemini,5,2,True,False,1,1,1,33/67,0.38636363636363635,0.38076923076923075
acl,gemini,5,3,True,False,1,1,1,33/67,0.4007936507936508,0.39015151515151514
acl,gemini,5,4,True,False,1,1,1,33/67,0.5,0.30303030303030304
acl,gemini,5,0,True,False,1,1,1,50/50,0.4444444444444444,0.32
acl,gemini,5,1,True,False,1,1,1,50/50,0.5,0.2916666666666667
acl,gemini,5,2,True,False,1,1,1,50/50,0.4357142857142857,0.4097222222222222
acl,gemini,5,3,True,False,1,1,1,50/50,0.4857142857142857,0.47058823529411764
acl,gemini,5,4,True,False,1,1,1,50/50,0.5,0.32
acl,gemini,5,0,True,False,1,1,1,67/33,0.4,0.25
acl,gemini,5,1,True,False,1,1,1,67/33,0.5,0.29411764705882354
acl,gemini,5,2,True,False,1,1,1,67/33,0.4375,0.4125874125874126
acl,gemini,5,3,True,False,1,1,1,67/33,0.4375,0.4125874125874126
acl,gemini,5,4,True,False,1,1,1,67/33,0.5,0.29411764705882354
acl,gemini,5,0,True,False,1,2,1,33/67,0.5992063492063493,0.5964912280701754
acl,gemini,5,1,True,False,1,2,1,33/67,0.5,0.3235294117647059
acl,gemini,5,2,True,False,1,2,1,33/67,0.5227272727272727,0.5217391304347826
acl,gemini,5,3,True,False,1,2,1,33/67,0.5238095238095238,0.5208333333333333
acl,gemini,5,4,True,False,1,2,1,33/67,0.7192307692307692,0.6933333333333334
acl,gemini,5,0,True,False,1,2,1,50/50,0.6388888888888888,0.6357142857142857
acl,gemini,5,1,True,False,1,2,1,50/50,0.5,0.2916666666666667
acl,gemini,5,2,True,False,1,2,1,50/50,0.4642857142857143,0.4631578947368421
acl,gemini,5,3,True,False,1,2,1,50/50,0.4928571428571428,0.48484848484848486
acl,gemini,5,4,True,False,1,2,1,50/50,0.6597222222222222,0.6357142857142857
acl,gemini,5,0,True,False,1,2,1,67/33,0.6857142857142857,0.6666666666666666
acl,gemini,5,1,True,False,1,2,1,67/33,0.5,0.29411764705882354
acl,gemini,5,2,True,False,1,2,1,67/33,0.4375,0.4125874125874126
acl,gemini,5,3,True,False,1,2,1,67/33,0.4375,0.4375
acl,gemini,5,4,True,False,1,2,1,67/33,0.6142857142857143,0.5804195804195804
acl,gemini,5,0,True,False,1,3,1,33/67,0.48809523809523814,0.486815415821501
acl,gemini,5,1,True,False,1,3,1,33/67,0.3939393939393939,0.39015151515151514
acl,gemini,5,2,True,False,1,3,1,33/67,0.4810606060606061,0.4772727272727273
acl,gemini,5,3,True,False,1,3,1,33/67,0.5238095238095238,0.5208333333333333
acl,gemini,5,4,True,False,1,3,1,33/67,0.5692307692307692,0.5643939393939394
acl,gemini,5,0,True,False,1,3,1,50/50,0.5763888888888888,0.5641025641025641
acl,gemini,5,1,True,False,1,3,1,50/50,0.36428571428571427,0.35294117647058826
acl,gemini,5,2,True,False,1,3,1,50/50,0.4642857142857143,0.4631578947368421
acl,gemini,5,3,True,False,1,3,1,50/50,0.4928571428571428,0.48484848484848486
acl,gemini,5,4,True,False,1,3,1,50/50,0.5347222222222222,0.5277777777777778
acl,gemini,5,0,True,False,1,3,1,67/33,0.5142857142857142,0.5
acl,gemini,5,1,True,False,1,3,1,67/33,0.34285714285714286,0.3333333333333333
acl,gemini,5,2,True,False,1,3,1,67/33,0.375,0.37777777777777777
acl,gemini,5,3,True,False,1,3,1,67/33,0.4375,0.4375
acl,gemini,5,4,True,False,1,3,1,67/33,0.41428571428571426,0.4125874125874126
acl,gemini,5,0,True,False,1,4,1,33/67,0.32539682539682535,0.32748538011695905
acl,gemini,5,1,True,False,1,4,1,33/67,0.5984848484848485,0.5801217038539555
acl,gemini,5,2,True,False,1,4,1,33/67,0.5265151515151515,0.5180952380952382
acl,gemini,5,3,True,False,1,4,1,33/67,0.43253968253968256,0.425
acl,gemini,5,4,True,False,1,4,1,33/67,0.46153846153846156,0.34285714285714286
acl,gemini,5,0,True,False,1,4,1,50/50,0.29166666666666663,0.29166666666666663
acl,gemini,5,1,True,False,1,4,1,50/50,0.6857142857142857,0.6886446886446886
acl,gemini,5,2,True,False,1,4,1,50/50,0.5142857142857142,0.5142857142857142
acl,gemini,5,3,True,False,1,4,1,50/50,0.4928571428571428,0.48484848484848486
acl,gemini,5,4,True,False,1,4,1,50/50,0.4444444444444444,0.32
acl,gemini,5,0,True,False,1,4,1,67/33,0.17142857142857143,0.16666666666666666
acl,gemini,5,1,True,False,1,4,1,67/33,0.6285714285714286,0.625
acl,gemini,5,2,True,False,1,4,1,67/33,0.375,0.37777777777777777
acl,gemini,5,3,True,False,1,4,1,67/33,0.5,0.4957983193277311
acl,gemini,5,4,True,False,1,4,1,67/33,0.42857142857142855,0.3333333333333333
acl,gemini,5,0,True,False,1,5,1,33/67,0.45238095238095233,0.45238095238095233
acl,gemini,5,1,True,False,1,5,1,33/67,0.5492424242424242,0.48660714285714285
acl,gemini,5,2,True,False,1,5,1,33/67,0.5227272727272727,0.5217391304347826
acl,gemini,5,3,True,False,1,5,1,33/67,0.34523809523809523,0.34285714285714286
acl,gemini,5,4,True,False,1,5,1,33/67,0.35384615384615387,0.34782608695652173
acl,gemini,5,0,True,False,1,5,1,50/50,0.4583333333333333,0.43956043956043955
acl,gemini,5,1,True,False,1,5,1,50/50,0.5214285714285715,0.4711111111111111
acl,gemini,5,2,True,False,1,5,1,50/50,0.39285714285714285,0.39285714285714285
acl,gemini,5,3,True,False,1,5,1,50/50,0.2928571428571428,0.29166666666666663
acl,gemini,5,4,True,False,1,5,1,50/50,0.4722222222222222,0.47058823529411764
acl,gemini,5,0,True,False,1,5,1,67/33,0.44285714285714284,0.4125874125874126
acl,gemini,5,1,True,False,1,5,1,67/33,0.42857142857142855,0.3333333333333333
acl,gemini,5,2,True,False,1,5,1,67/33,0.5625,0.5555555555555556
