dataset,method,num_trees,iter,decision_tree,description,num_examples,max_tree_depth,temperature,split,accuracy,f1_score
bankruptcy,gpt-4o,5,0,True,True,1,2,0,33/67,0.7403508771929824,0.7424242424242424
bankruptcy,gpt-4o,5,1,True,True,1,2,0,33/67,0.8472222222222222,0.8496905393457117
bankruptcy,gpt-4o,5,2,True,True,1,2,0,33/67,0.6771929824561403,0.6357142857142857
bankruptcy,gpt-4o,5,3,True,True,1,2,0,33/67,0.725,0.6693191865605659
bankruptcy,gpt-4o,5,4,True,True,1,2,0,33/67,0.7070175438596491,0.7043478260869566
bankruptcy,gpt-4o,5,0,True,True,1,2,0,50/50,0.7,0.7023809523809523
bankruptcy,gpt-4o,5,1,True,True,1,2,0,50/50,0.8044871794871795,0.7987117552334944
bankruptcy,gpt-4o,5,2,True,True,1,2,0,50/50,0.6944444444444444,0.64
bankruptcy,gpt-4o,5,3,True,True,1,2,0,50/50,0.75,0.7126436781609196
bankruptcy,gpt-4o,5,4,True,True,1,2,0,50/50,0.6666666666666667,0.6666666666666667
bankruptcy,gpt-4o,5,0,True,True,1,2,0,67/33,0.5833333333333334,0.5502645502645502
bankruptcy,gpt-4o,5,1,True,True,1,2,0,67/33,0.7708333333333333,0.7638888888888888
bankruptcy,gpt-4o,5,2,True,True,1,2,0,67/33,0.8181818181818181,0.7638888888888888
bankruptcy,gpt-4o,5,3,True,True,1,2,0,67/33,0.75,0.7017543859649122
bankruptcy,gpt-4o,5,4,True,True,1,2,0,67/33,0.6597222222222222,0.6357142857142857
bankruptcy,gpt-4o,5,0,True,False,1,2,0,33/67,0.7403508771929824,0.7424242424242424
bankruptcy,gpt-4o,5,1,True,False,1,2,0,33/67,0.8472222222222222,0.8496905393457117
bankruptcy,gpt-4o,5,2,True,False,1,2,0,33/67,0.887719298245614,0.8819444444444444
bankruptcy,gpt-4o,5,3,True,False,1,2,0,33/67,0.8642857142857143,0.85178727114211
bankruptcy,gpt-4o,5,4,True,False,1,2,0,33/67,0.7070175438596491,0.7043478260869566
bankruptcy,gpt-4o,5,0,True,False,1,2,0,50/50,0.7,0.7023809523809523
bankruptcy,gpt-4o,5,1,True,False,1,2,0,50/50,0.8044871794871795,0.7987117552334944
bankruptcy,gpt-4o,5,2,True,False,1,2,0,50/50,0.9131944444444444,0.9131944444444444
bankruptcy,gpt-4o,5,3,True,False,1,2,0,50/50,0.8116883116883117,0.8
bankruptcy,gpt-4o,5,4,True,False,1,2,0,50/50,0.6666666666666667,0.6666666666666667
bankruptcy,gpt-4o,5,0,True,False,1,2,0,67/33,0.5833333333333334,0.5502645502645502
bankruptcy,gpt-4o,5,1,True,False,1,2,0,67/33,0.7708333333333333,0.7638888888888888
bankruptcy,gpt-4o,5,2,True,False,1,2,0,67/33,0.9545454545454546,0.9377289377289377
bankruptcy,gpt-4o,5,3,True,False,1,2,0,67/33,0.8285714285714285,0.8210526315789474
bankruptcy,gpt-4o,5,4,True,False,1,2,0,67/33,0.6597222222222222,0.6357142857142857
bankruptcy,gpt-o1,5,0,True,True,1,2,0,33/67,0.880701754385965,0.880701754385965
bankruptcy,gpt-o1,5,1,True,True,1,2,0,33/67,0.9409722222222222,0.9409722222222222
bankruptcy,gpt-o1,5,2,True,True,1,2,0,33/67,0.887719298245614,0.8819444444444444
bankruptcy,gpt-o1,5,3,True,True,1,2,0,33/67,0.725,0.6693191865605659
bankruptcy,gpt-o1,5,4,True,True,1,2,0,33/67,0.8403508771929824,0.8464317976513098
bankruptcy,gpt-o1,5,0,True,True,1,2,0,50/50,0.8666666666666667,0.8726655348047538
bankruptcy,gpt-o1,5,1,True,True,1,2,0,50/50,0.9198717948717949,0.9198717948717949
bankruptcy,gpt-o1,5,2,True,True,1,2,0,50/50,0.9131944444444444,0.9131944444444444
bankruptcy,gpt-o1,5,3,True,True,1,2,0,50/50,0.75,0.7126436781609196
bankruptcy,gpt-o1,5,4,True,True,1,2,0,50/50,0.7666666666666666,0.7771836007130125
bankruptcy,gpt-o1,5,0,True,True,1,2,0,67/33,0.7878787878787878,0.7984189723320159
bankruptcy,gpt-o1,5,1,True,True,1,2,0,67/33,0.8819444444444444,0.8819444444444444
bankruptcy,gpt-o1,5,2,True,True,1,2,0,67/33,0.9545454545454546,0.9377289377289377
bankruptcy,gpt-o1,5,3,True,True,1,2,0,67/33,0.75,0.7017543859649122
bankruptcy,gpt-o1,5,4,True,True,1,2,0,67/33,0.7152777777777778,0.7017543859649122
bankruptcy,gpt-o1,5,0,True,False,1,2,0,33/67,0.880701754385965,0.880701754385965
bankruptcy,gpt-o1,5,1,True,False,1,2,0,33/67,0.9409722222222222,0.9409722222222222
bankruptcy,gpt-o1,5,2,True,False,1,2,0,33/67,0.887719298245614,0.8819444444444444
bankruptcy,gpt-o1,5,3,True,False,1,2,0,33/67,0.725,0.6693191865605659
bankruptcy,gpt-o1,5,4,True,False,1,2,0,33/67,0.8403508771929824,0.8464317976513098
bankruptcy,gpt-o1,5,0,True,False,1,2,0,50/50,0.8666666666666667,0.8726655348047538
bankruptcy,gpt-o1,5,1,True,False,1,2,0,50/50,0.9198717948717949,0.9198717948717949
bankruptcy,gpt-o1,5,2,True,False,1,2,0,50/50,0.9131944444444444,0.9131944444444444
bankruptcy,gpt-o1,5,3,True,False,1,2,0,50/50,0.75,0.7126436781609196
bankruptcy,gpt-o1,5,4,True,False,1,2,0,50/50,0.7666666666666666,0.7771836007130125
bankruptcy,gpt-o1,5,0,True,False,1,2,0,67/33,0.7878787878787878,0.7984189723320159
bankruptcy,gpt-o1,5,1,True,False,1,2,0,67/33,0.8819444444444444,0.8819444444444444
bankruptcy,gpt-o1,5,2,True,False,1,2,0,67/33,0.9545454545454546,0.9377289377289377
bankruptcy,gpt-o1,5,3,True,False,1,2,0,67/33,0.75,0.7017543859649122
bankruptcy,gpt-o1,5,4,True,False,1,2,0,67/33,0.7152777777777778,0.7017543859649122
bankruptcy,gemini,5,0,True,True,1,2,0,33/67,0.8403508771929824,0.8464317976513098
bankruptcy,gemini,5,1,True,True,1,2,0,33/67,0.75,0.7424242424242424
bankruptcy,gemini,5,2,True,True,1,2,0,33/67,0.7368421052631579,0.6964285714285714
bankruptcy,gemini,5,3,True,True,1,2,0,33/67,0.6892857142857143,0.6421052631578947
bankruptcy,gemini,5,4,True,True,1,2,0,33/67,0.8403508771929824,0.8464317976513098
bankruptcy,gemini,5,0,True,True,1,2,0,50/50,0.9,0.9131944444444444
bankruptcy,gemini,5,1,True,True,1,2,0,50/50,0.7692307692307692,0.75
bankruptcy,gemini,5,2,True,True,1,2,0,50/50,0.75,0.6794871794871795
bankruptcy,gemini,5,3,True,True,1,2,0,50/50,0.7045454545454546,0.6753246753246753
bankruptcy,gemini,5,4,True,True,1,2,0,50/50,0.7666666666666666,0.7771836007130125
bankruptcy,gemini,5,0,True,True,1,2,0,67/33,0.8333333333333333,0.8583333333333334
bankruptcy,gemini,5,1,True,True,1,2,0,67/33,0.7777777777777778,0.7571428571428571
bankruptcy,gemini,5,2,True,True,1,2,0,67/33,0.7727272727272727,0.7058823529411765
bankruptcy,gemini,5,3,True,True,1,2,0,67/33,0.7285714285714285,0.7058823529411765
bankruptcy,gemini,5,4,True,True,1,2,0,67/33,0.7152777777777778,0.7017543859649122
bankruptcy,gemini,5,0,True,False,1,2,0,33/67,0.8403508771929824,0.8464317976513098
bankruptcy,gemini,5,1,True,False,1,2,0,33/67,0.75,0.7424242424242424
bankruptcy,gemini,5,2,True,False,1,2,0,33/67,0.7368421052631579,0.6964285714285714
bankruptcy,gemini,5,3,True,False,1,2,0,33/67,0.6892857142857143,0.6421052631578947
bankruptcy,gemini,5,4,True,False,1,2,0,33/67,0.8403508771929824,0.8464317976513098
bankruptcy,gemini,5,0,True,False,1,2,0,50/50,0.9,0.9131944444444444
bankruptcy,gemini,5,1,True,False,1,2,0,50/50,0.7692307692307692,0.75
bankruptcy,gemini,5,2,True,False,1,2,0,50/50,0.75,0.6794871794871795
bankruptcy,gemini,5,3,True,False,1,2,0,50/50,0.7045454545454546,0.6753246753246753
bankruptcy,gemini,5,4,True,False,1,2,0,50/50,0.7666666666666666,0.7771836007130125
bankruptcy,gemini,5,0,True,False,1,2,0,67/33,0.8333333333333333,0.8583333333333334
bankruptcy,gemini,5,1,True,False,1,2,0,67/33,0.7777777777777778,0.7571428571428571
bankruptcy,gemini,5,2,True,False,1,2,0,67/33,0.7727272727272727,0.7058823529411765
