dataset,method,classifier,concatenation,num_trees,num_examples,description,max_tree_depth,temperature,split,iter,accuracy,f1_score
acl,gpt-4o,mlp,True,5,1,False,0,1,33/67,0,0.6904761904761905,0.6861598440545809
acl,gpt-4o,mlp,True,5,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gpt-4o,mlp,True,5,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gpt-4o,mlp,True,5,1,False,0,1,33/67,3,0.6587301587301587,0.6057142857142856
acl,gpt-4o,mlp,True,5,1,False,0,1,33/67,4,0.4307692307692308,0.43047619047619046
acl,gpt-4o,mlp,True,5,1,False,0,1,50/50,0,0.6944444444444444,0.6886446886446886
acl,gpt-4o,mlp,True,5,1,False,0,1,50/50,1,0.6,0.48484848484848486
acl,gpt-4o,mlp,True,5,1,False,0,1,50/50,2,0.5142857142857142,0.5142857142857142
acl,gpt-4o,mlp,True,5,1,False,0,1,50/50,3,0.6285714285714286,0.5824561403508772
acl,gpt-4o,mlp,True,5,1,False,0,1,50/50,4,0.6388888888888888,0.6357142857142857
acl,gpt-4o,mlp,True,5,1,False,0,1,67/33,0,0.7857142857142857,0.7482517482517483
acl,gpt-4o,mlp,True,5,1,False,0,1,67/33,1,0.6857142857142857,0.6666666666666666
acl,gpt-4o,mlp,True,5,1,False,0,1,67/33,2,0.6875,0.6571428571428571
acl,gpt-4o,mlp,True,5,1,False,0,1,67/33,3,0.6875,0.6571428571428571
acl,gpt-4o,mlp,True,5,1,False,0,1,67/33,4,0.7571428571428571,0.7482517482517483
acl,gpt-4o,hgbdt,True,5,1,False,0,1,33/67,0,0.38492063492063494,0.34285714285714286
acl,gpt-4o,hgbdt,True,5,1,False,0,1,33/67,1,0.4507575757575758,0.35698924731182796
acl,gpt-4o,hgbdt,True,5,1,False,0,1,33/67,2,0.6931818181818181,0.6933333333333334
acl,gpt-4o,hgbdt,True,5,1,False,0,1,33/67,3,0.7658730158730158,0.7386363636363636
acl,gpt-4o,hgbdt,True,5,1,False,0,1,33/67,4,0.5807692307692307,0.5643939393939394
acl,gpt-4o,hgbdt,True,5,1,False,0,1,50/50,0,0.6388888888888888,0.6357142857142857
acl,gpt-4o,hgbdt,True,5,1,False,0,1,50/50,1,0.6571428571428571,0.6458333333333333
acl,gpt-4o,hgbdt,True,5,1,False,0,1,50/50,2,0.6071428571428572,0.5882352941176471
acl,gpt-4o,hgbdt,True,5,1,False,0,1,50/50,3,0.5,0.37037037037037035
acl,gpt-4o,hgbdt,True,5,1,False,0,1,50/50,4,0.7013888888888888,0.7017543859649122
acl,gpt-4o,hgbdt,True,5,1,False,0,1,67/33,0,0.5428571428571429,0.4857142857142857
acl,gpt-4o,hgbdt,True,5,1,False,0,1,67/33,1,0.6571428571428571,0.6571428571428571
acl,gpt-4o,hgbdt,True,5,1,False,0,1,67/33,2,0.6875,0.6571428571428571
acl,gpt-4o,hgbdt,True,5,1,False,0,1,67/33,3,0.625,0.5804195804195804
acl,gpt-4o,hgbdt,True,5,1,False,0,1,67/33,4,0.9285714285714286,0.916083916083916
acl,gpt-4o,lr,True,5,1,False,0,1,33/67,0,0.6547619047619048,0.6461538461538461
acl,gpt-4o,lr,True,5,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gpt-4o,lr,True,5,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gpt-4o,lr,True,5,1,False,0,1,33/67,3,0.6944444444444444,0.6515151515151515
acl,gpt-4o,lr,True,5,1,False,0,1,33/67,4,0.5807692307692307,0.5643939393939394
acl,gpt-4o,lr,True,5,1,False,0,1,50/50,0,0.6319444444444444,0.6136363636363636
acl,gpt-4o,lr,True,5,1,False,0,1,50/50,1,0.55,0.3952569169960475
acl,gpt-4o,lr,True,5,1,False,0,1,50/50,2,0.5357142857142857,0.5277777777777778
acl,gpt-4o,lr,True,5,1,False,0,1,50/50,3,0.5857142857142856,0.5824561403508772
acl,gpt-4o,lr,True,5,1,False,0,1,50/50,4,0.5138888888888888,0.48484848484848486
acl,gpt-4o,lr,True,5,1,False,0,1,67/33,0,0.6428571428571428,0.5555555555555556
acl,gpt-4o,lr,True,5,1,False,0,1,67/33,1,0.6857142857142857,0.6666666666666666
acl,gpt-4o,lr,True,5,1,False,0,1,67/33,2,0.6875,0.6571428571428571
acl,gpt-4o,lr,True,5,1,False,0,1,67/33,3,0.6875,0.6571428571428571
acl,gpt-4o,lr,True,5,1,False,0,1,67/33,4,0.8285714285714285,0.8285714285714285
acl,gpt-o1,mlp,True,5,1,False,0,1,33/67,0,0.6547619047619048,0.6461538461538461
acl,gpt-o1,mlp,True,5,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gpt-o1,mlp,True,5,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gpt-o1,mlp,True,5,1,False,0,1,33/67,3,0.5833333333333333,0.5643939393939394
acl,gpt-o1,mlp,True,5,1,False,0,1,33/67,4,0.4192307692307692,0.4171539961013645
acl,gpt-o1,mlp,True,5,1,False,0,1,50/50,0,0.6944444444444444,0.6886446886446886
acl,gpt-o1,mlp,True,5,1,False,0,1,50/50,1,0.5285714285714286,0.43956043956043955
acl,gpt-o1,mlp,True,5,1,False,0,1,50/50,2,0.5357142857142857,0.5277777777777778
acl,gpt-o1,mlp,True,5,1,False,0,1,50/50,3,0.6357142857142857,0.6357142857142857
acl,gpt-o1,mlp,True,5,1,False,0,1,50/50,4,0.6319444444444444,0.6136363636363636
acl,gpt-o1,mlp,True,5,1,False,0,1,67/33,0,0.6428571428571428,0.5555555555555556
acl,gpt-o1,mlp,True,5,1,False,0,1,67/33,1,0.6142857142857143,0.5804195804195804
acl,gpt-o1,mlp,True,5,1,False,0,1,67/33,2,0.5,0.4857142857142857
acl,gpt-o1,mlp,True,5,1,False,0,1,67/33,3,0.6875,0.6571428571428571
acl,gpt-o1,mlp,True,5,1,False,0,1,67/33,4,0.8,0.8125
acl,gpt-o1,hgbdt,True,5,1,False,0,1,33/67,0,0.38492063492063494,0.34285714285714286
acl,gpt-o1,hgbdt,True,5,1,False,0,1,33/67,1,0.4507575757575758,0.35698924731182796
acl,gpt-o1,hgbdt,True,5,1,False,0,1,33/67,2,0.6931818181818181,0.6933333333333334
acl,gpt-o1,hgbdt,True,5,1,False,0,1,33/67,3,0.7658730158730158,0.7386363636363636
acl,gpt-o1,hgbdt,True,5,1,False,0,1,33/67,4,0.3423076923076923,0.34285714285714286
acl,gpt-o1,hgbdt,True,5,1,False,0,1,50/50,0,0.6319444444444444,0.6136363636363636
acl,gpt-o1,hgbdt,True,5,1,False,0,1,50/50,1,0.6071428571428572,0.5882352941176471
acl,gpt-o1,hgbdt,True,5,1,False,0,1,50/50,2,0.5642857142857143,0.5641025641025641
acl,gpt-o1,hgbdt,True,5,1,False,0,1,50/50,3,0.5857142857142856,0.5824561403508772
acl,gpt-o1,hgbdt,True,5,1,False,0,1,50/50,4,0.5833333333333333,0.5824561403508772
acl,gpt-o1,hgbdt,True,5,1,False,0,1,67/33,0,0.7142857142857143,0.6571428571428571
acl,gpt-o1,hgbdt,True,5,1,False,0,1,67/33,1,0.5142857142857142,0.5
acl,gpt-o1,hgbdt,True,5,1,False,0,1,67/33,2,0.5625,0.5555555555555556
acl,gpt-o1,hgbdt,True,5,1,False,0,1,67/33,3,0.625,0.5804195804195804
acl,gpt-o1,hgbdt,True,5,1,False,0,1,67/33,4,0.6285714285714286,0.625
acl,gpt-o1,lr,True,5,1,False,0,1,33/67,0,0.6547619047619048,0.6461538461538461
acl,gpt-o1,lr,True,5,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gpt-o1,lr,True,5,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gpt-o1,lr,True,5,1,False,0,1,33/67,3,0.6388888888888888,0.6086956521739131
acl,gpt-o1,lr,True,5,1,False,0,1,33/67,4,0.4192307692307692,0.4171539961013645
acl,gpt-o1,lr,True,5,1,False,0,1,50/50,0,0.6944444444444444,0.6886446886446886
acl,gpt-o1,lr,True,5,1,False,0,1,50/50,1,0.6,0.48484848484848486
acl,gpt-o1,lr,True,5,1,False,0,1,50/50,2,0.6357142857142857,0.6357142857142857
acl,gpt-o1,lr,True,5,1,False,0,1,50/50,3,0.6571428571428571,0.6458333333333333
acl,gpt-o1,lr,True,5,1,False,0,1,50/50,4,0.5694444444444444,0.5296442687747036
acl,gpt-o1,lr,True,5,1,False,0,1,67/33,0,0.6428571428571428,0.5555555555555556
acl,gpt-o1,lr,True,5,1,False,0,1,67/33,1,0.5857142857142856,0.5804195804195804
acl,gpt-o1,lr,True,5,1,False,0,1,67/33,2,0.5625,0.5555555555555556
acl,gpt-o1,lr,True,5,1,False,0,1,67/33,3,0.625,0.5804195804195804
acl,gpt-o1,lr,True,5,1,False,0,1,67/33,4,0.8,0.8125
acl,gemini,mlp,True,5,1,False,0,1,33/67,0,0.6190476190476191,0.6057142857142856
acl,gemini,mlp,True,5,1,False,0,1,33/67,1,0.4962121212121212,0.3839285714285714
acl,gemini,mlp,True,5,1,False,0,1,33/67,2,0.5833333333333334,0.48660714285714285
acl,gemini,mlp,True,5,1,False,0,1,33/67,3,0.5992063492063493,0.5964912280701754
acl,gemini,mlp,True,5,1,False,0,1,33/67,4,0.3038461538461539,0.303030303030303
acl,gemini,mlp,True,5,1,False,0,1,50/50,0,0.5763888888888888,0.5641025641025641
acl,gemini,mlp,True,5,1,False,0,1,50/50,1,0.55,0.3952569169960475
acl,gemini,mlp,True,5,1,False,0,1,50/50,2,0.4642857142857143,0.4631578947368421
acl,gemini,mlp,True,5,1,False,0,1,50/50,3,0.5357142857142857,0.5277777777777778
