dataset,method,concatenation,num_trees,num_examples,description,max_tree_depth,temperature,split,iter,accuracy,f1_score
acl,gpt-4o,True,5,1,False,1,1,33/67,0,0.5,0.28125
acl,gpt-4o,True,5,1,False,1,1,33/67,1,0.5,0.3235294117647059
acl,gpt-4o,True,5,1,False,1,1,33/67,2,0.5416666666666666,0.41025641025641024
acl,gpt-4o,True,5,1,False,1,1,33/67,3,0.5277777777777778,0.5180952380952382
acl,gpt-4o,True,5,1,False,1,1,33/67,4,0.4192307692307692,0.4171539961013645
acl,gpt-4o,True,5,1,False,1,1,50/50,0,0.5763888888888888,0.5641025641025641
acl,gpt-4o,True,5,1,False,1,1,50/50,1,0.5,0.2916666666666667
acl,gpt-4o,True,5,1,False,1,1,50/50,2,0.44285714285714284,0.43956043956043955
acl,gpt-4o,True,5,1,False,1,1,50/50,3,0.5,0.37037037037037035
acl,gpt-4o,True,5,1,False,1,1,50/50,4,0.5,0.34615384615384615
acl,gpt-4o,True,5,1,False,1,1,67/33,0,0.4714285714285714,0.37777777777777777
acl,gpt-4o,True,5,1,False,1,1,67/33,1,0.6428571428571428,0.5555555555555556
acl,gpt-4o,True,5,1,False,1,1,67/33,2,0.625,0.625
acl,gpt-4o,True,5,1,False,1,1,67/33,3,0.5625,0.5555555555555556
acl,gpt-4o,True,5,1,False,1,1,67/33,4,0.6571428571428571,0.6571428571428571
acl,gpt-4o,True,5,1,False,2,1,33/67,0,0.6547619047619048,0.6461538461538461
acl,gpt-4o,True,5,1,False,2,1,33/67,1,0.5416666666666666,0.41025641025641024
acl,gpt-4o,True,5,1,False,2,1,33/67,2,0.5416666666666666,0.41025641025641024
acl,gpt-4o,True,5,1,False,2,1,33/67,3,0.6587301587301587,0.6057142857142856
acl,gpt-4o,True,5,1,False,2,1,33/67,4,0.4307692307692308,0.43047619047619046
acl,gpt-4o,True,5,1,False,2,1,50/50,0,0.7013888888888888,0.7017543859649122
acl,gpt-4o,True,5,1,False,2,1,50/50,1,0.65,0.5641025641025641
acl,gpt-4o,True,5,1,False,2,1,50/50,2,0.5857142857142856,0.5824561403508772
acl,gpt-4o,True,5,1,False,2,1,50/50,3,0.5,0.37037037037037035
acl,gpt-4o,True,5,1,False,2,1,50/50,4,0.8125,0.8131868131868132
acl,gpt-4o,True,5,1,False,2,1,67/33,0,0.8571428571428572,0.8333333333333334
acl,gpt-4o,True,5,1,False,2,1,67/33,1,0.6857142857142857,0.6666666666666666
