dataset,method,concatenation,num_trees,num_examples,description,max_tree_depth,temperature,split,iter,accuracy,f1_score
acl,gpt-4o,True,5,1,False,0,1,33/67,0,0.6547619047619048,0.6461538461538461
acl,gpt-4o,True,5,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gpt-4o,True,5,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gpt-4o,True,5,1,False,0,1,33/67,3,0.6587301587301587,0.6057142857142856
acl,gpt-4o,True,5,1,False,0,1,33/67,4,0.4807692307692308,0.4772727272727273
acl,gpt-4o,True,5,1,False,0,1,50/50,0,0.6388888888888888,0.6357142857142857
acl,gpt-4o,True,5,1,False,0,1,50/50,1,0.55,0.3952569169960475
acl,gpt-4o,True,5,1,False,0,1,50/50,2,0.5857142857142856,0.5824561403508772
acl,gpt-4o,True,5,1,False,0,1,50/50,3,0.6571428571428571,0.6458333333333333
acl,gpt-4o,True,5,1,False,0,1,50/50,4,0.5,0.34615384615384615
acl,gpt-4o,True,5,1,False,0,1,67/33,0,0.7857142857142857,0.7482517482517483
acl,gpt-4o,True,5,1,False,0,1,67/33,1,0.6142857142857143,0.5804195804195804
acl,gpt-4o,True,5,1,False,0,1,67/33,2,0.5625,0.5555555555555556
acl,gpt-4o,True,5,1,False,0,1,67/33,3,0.625,0.5804195804195804
acl,gpt-4o,True,5,1,False,0,1,67/33,4,0.7571428571428571,0.7482517482517483
acl,gpt-4o,True,5,2,False,0,1,33/67,0,0.5,0.28125
acl,gpt-4o,True,5,2,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gpt-4o,True,5,2,False,0,1,33/67,2,0.4962121212121212,0.3839285714285714
acl,gpt-4o,True,5,2,False,0,1,33/67,3,0.5,0.28125
acl,gpt-4o,True,5,2,False,0,1,33/67,4,0.36923076923076925,0.3611111111111111
acl,gpt-4o,True,5,2,False,0,1,50/50,0,0.5763888888888888,0.5641025641025641
acl,gpt-4o,True,5,2,False,0,1,50/50,1,0.5,0.2916666666666667
acl,gpt-4o,True,5,2,False,0,1,50/50,2,0.5857142857142856,0.5824561403508772
