dataset,method,num_trees,iter,decision_tree,description,num_examples,max_tree_depth,temperature,split,accuracy,f1_score
acl,gpt-4o,5,0,True,False,1,2,0,33/67,0.5,0.28125
acl,gpt-4o,5,1,True,False,1,2,0,33/67,0.4015151515151515,0.3611111111111111
acl,gpt-4o,5,2,True,False,1,2,0,33/67,0.5,0.34285714285714286
acl,gpt-4o,5,3,True,False,1,2,0,33/67,0.4642857142857143,0.3611111111111111
acl,gpt-4o,5,4,True,False,1,2,0,33/67,0.35384615384615387,0.34782608695652173
acl,gpt-4o,5,0,True,False,1,2,0,50/50,0.5,0.32
acl,gpt-4o,5,1,True,False,1,2,0,50/50,0.3357142857142857,0.27142857142857146
acl,gpt-4o,5,2,True,False,1,2,0,50/50,0.5,0.2916666666666667
acl,gpt-4o,5,3,True,False,1,2,0,50/50,0.45,0.34615384615384615
acl,gpt-4o,5,4,True,False,1,2,0,50/50,0.2986111111111111,0.29166666666666663
acl,gpt-4o,5,0,True,False,1,2,0,67/33,0.5,0.3684210526315789
acl,gpt-4o,5,1,True,False,1,2,0,67/33,0.27142857142857146,0.24475524475524477
acl,gpt-4o,5,2,True,False,1,2,0,67/33,0.5,0.25
acl,gpt-4o,5,3,True,False,1,2,0,67/33,0.4375,0.3684210526315789
acl,gpt-4o,5,4,True,False,1,2,0,67/33,0.34285714285714286,0.3333333333333333
acl,gemini,5,0,True,False,1,2,0,33/67,0.46825396825396826,0.4559139784946237
acl,gemini,5,1,True,False,1,2,0,33/67,0.5151515151515151,0.50682261208577
acl,gemini,5,2,True,False,1,2,0,33/67,0.3522727272727273,0.34285714285714286
acl,gemini,5,3,True,False,1,2,0,33/67,0.42063492063492064,0.39015151515151514
acl,gemini,5,4,True,False,1,2,0,33/67,0.4076923076923077,0.3935091277890467
acl,gemini,5,0,True,False,1,2,0,50/50,0.5138888888888888,0.48484848484848486
acl,gemini,5,1,True,False,1,2,0,50/50,0.4928571428571428,0.48484848484848486
acl,gemini,5,2,True,False,1,2,0,50/50,0.39285714285714285,0.39285714285714285
acl,gemini,5,3,True,False,1,2,0,50/50,0.3142857142857143,0.29166666666666663
acl,gemini,5,4,True,False,1,2,0,50/50,0.5138888888888888,0.48484848484848486
acl,gemini,5,0,True,False,1,2,0,67/33,0.5428571428571429,0.4857142857142857
acl,gemini,5,1,True,False,1,2,0,67/33,0.3857142857142857,0.37777777777777777
acl,gemini,5,2,True,False,1,2,0,67/33,0.375,0.37777777777777777
acl,gemini,5,3,True,False,1,2,0,67/33,0.3125,0.24475524475524477
acl,gemini,5,4,True,False,1,2,0,67/33,0.4571428571428572,0.4375
acl,claude,5,0,True,False,1,2,0,33/67,0.5357142857142857,0.35698924731182796
acl,claude,5,1,True,False,1,2,0,33/67,0.5454545454545454,0.4362745098039216
acl,claude,5,2,True,False,1,2,0,33/67,0.5,0.34285714285714286
acl,claude,5,3,True,False,1,2,0,33/67,0.5357142857142857,0.35698924731182796
acl,claude,5,4,True,False,1,2,0,33/67,0.5384615384615384,0.3839285714285714
acl,claude,5,0,True,False,1,2,0,50/50,0.5555555555555556,0.43333333333333335
