dataset,method,classifier,concatenation,num_trees,num_examples,description,max_tree_depth,temperature,split,iter,accuracy,f1_score
bankruptcy,gpt-4o,mlp,False,5,1,True,2,1,33/67,0,0.880701754385965,0.880701754385965
bankruptcy,gpt-4o,mlp,False,5,1,True,2,1,33/67,1,0.6388888888888888,0.5729468599033817
bankruptcy,gpt-4o,mlp,False,5,1,True,2,1,33/67,2,0.6771929824561403,0.6357142857142857
bankruptcy,gpt-4o,mlp,False,5,1,True,2,1,33/67,3,0.5,0.2916666666666667
bankruptcy,gpt-4o,mlp,False,5,1,True,2,1,33/67,4,0.8403508771929824,0.8464317976513098
bankruptcy,gpt-4o,mlp,False,5,1,True,2,1,50/50,0,0.8666666666666667,0.8726655348047538
bankruptcy,gpt-4o,mlp,False,5,1,True,2,1,50/50,1,0.9198717948717948,0.9198717948717948
bankruptcy,gpt-4o,mlp,False,5,1,True,2,1,50/50,2,0.7881944444444444,0.7564935064935066
bankruptcy,gpt-4o,mlp,False,5,1,True,2,1,50/50,3,0.8116883116883117,0.8
bankruptcy,gpt-4o,mlp,False,5,1,True,2,1,50/50,4,0.7666666666666666,0.7771836007130125
bankruptcy,gpt-4o,mlp,False,5,1,True,2,1,67/33,0,0.7878787878787878,0.7984189723320159
bankruptcy,gpt-4o,mlp,False,5,1,True,2,1,67/33,1,0.8819444444444444,0.8819444444444444
bankruptcy,gpt-4o,mlp,False,5,1,True,2,1,67/33,2,0.9545454545454546,0.9377289377289376
bankruptcy,gpt-4o,mlp,False,5,1,True,2,1,67/33,3,0.8285714285714285,0.8210526315789474
bankruptcy,gpt-4o,mlp,False,5,1,True,2,1,67/33,4,0.7152777777777778,0.7017543859649122
bankruptcy,gpt-4o,mlp,False,5,1,False,2,1,33/67,0,0.8157894736842105,0.7925021795989537
bankruptcy,gpt-4o,mlp,False,5,1,False,2,1,33/67,1,0.8298611111111112,0.8229166666666667
bankruptcy,gpt-4o,mlp,False,5,1,False,2,1,33/67,2,0.7824561403508772,0.7638888888888888
bankruptcy,gpt-4o,mlp,False,5,1,False,2,1,33/67,3,0.8142857142857143,0.793939393939394
bankruptcy,gpt-4o,mlp,False,5,1,False,2,1,33/67,4,0.8403508771929824,0.8464317976513098
bankruptcy,gpt-4o,mlp,False,5,1,False,2,1,50/50,0,0.8666666666666667,0.8726655348047538
bankruptcy,gpt-4o,mlp,False,5,1,False,2,1,50/50,1,0.9198717948717948,0.9198717948717948
bankruptcy,gpt-4o,mlp,False,5,1,False,2,1,50/50,2,0.8819444444444444,0.8726655348047538
bankruptcy,gpt-4o,mlp,False,5,1,False,2,1,50/50,3,0.8116883116883117,0.8
bankruptcy,gpt-4o,mlp,False,5,1,False,2,1,50/50,4,0.7666666666666666,0.7771836007130125
bankruptcy,gpt-4o,mlp,False,5,1,False,2,1,67/33,0,0.7878787878787878,0.7984189723320159
bankruptcy,gpt-4o,mlp,False,5,1,False,2,1,67/33,1,0.8819444444444444,0.8819444444444444
bankruptcy,gpt-4o,mlp,False,5,1,False,2,1,67/33,2,0.9545454545454546,0.9377289377289376
bankruptcy,gpt-4o,mlp,False,5,1,False,2,1,67/33,3,0.8285714285714285,0.8210526315789474
bankruptcy,gpt-4o,mlp,False,5,1,False,2,1,67/33,4,0.7152777777777778,0.7017543859649122
bankruptcy,gpt-4o,mlp,True,5,1,True,2,1,33/67,0,0.8947368421052632,0.8823529411764706
bankruptcy,gpt-4o,mlp,True,5,1,True,2,1,33/67,1,0.7708333333333333,0.7638888888888888
bankruptcy,gpt-4o,mlp,True,5,1,True,2,1,33/67,2,0.8614035087719298,0.8528138528138528
bankruptcy,gpt-4o,mlp,True,5,1,True,2,1,33/67,3,0.8392857142857143,0.8229166666666667
bankruptcy,gpt-4o,mlp,True,5,1,True,2,1,33/67,4,0.8403508771929824,0.8464317976513098
bankruptcy,gpt-4o,mlp,True,5,1,True,2,1,50/50,0,0.8666666666666667,0.8726655348047538
bankruptcy,gpt-4o,mlp,True,5,1,True,2,1,50/50,1,0.9198717948717948,0.9198717948717948
bankruptcy,gpt-4o,mlp,True,5,1,True,2,1,50/50,2,0.8263888888888888,0.8263888888888888
bankruptcy,gpt-4o,mlp,True,5,1,True,2,1,50/50,3,0.8116883116883117,0.8
bankruptcy,gpt-4o,mlp,True,5,1,True,2,1,50/50,4,0.7666666666666666,0.7771836007130125
bankruptcy,gpt-4o,mlp,True,5,1,True,2,1,67/33,0,0.7878787878787878,0.7984189723320159
bankruptcy,gpt-4o,mlp,True,5,1,True,2,1,67/33,1,0.8819444444444444,0.8819444444444444
bankruptcy,gpt-4o,mlp,True,5,1,True,2,1,67/33,2,0.9545454545454546,0.9377289377289376
bankruptcy,gpt-4o,mlp,True,5,1,True,2,1,67/33,3,0.8785714285714286,0.8785714285714286
bankruptcy,gpt-4o,mlp,True,5,1,True,2,1,67/33,4,0.7152777777777778,0.7017543859649122
bankruptcy,gpt-4o,mlp,True,5,1,False,2,1,33/67,0,0.8947368421052632,0.8823529411764706
bankruptcy,gpt-4o,mlp,True,5,1,False,2,1,33/67,1,0.9166666666666669,0.9116883116883115
bankruptcy,gpt-4o,mlp,True,5,1,False,2,1,33/67,2,0.8614035087719298,0.8528138528138528
bankruptcy,gpt-4o,mlp,True,5,1,False,2,1,33/67,3,0.8392857142857143,0.8229166666666667
bankruptcy,gpt-4o,mlp,True,5,1,False,2,1,33/67,4,0.8403508771929824,0.8464317976513098
bankruptcy,gpt-4o,mlp,True,5,1,False,2,1,50/50,0,0.8666666666666667,0.8726655348047538
bankruptcy,gpt-4o,mlp,True,5,1,False,2,1,50/50,1,0.875,0.8768472906403941
bankruptcy,gpt-4o,mlp,True,5,1,False,2,1,50/50,2,0.8263888888888888,0.8263888888888888
bankruptcy,gpt-4o,mlp,True,5,1,False,2,1,50/50,3,0.8116883116883117,0.8
bankruptcy,gpt-4o,mlp,True,5,1,False,2,1,50/50,4,0.7666666666666666,0.7771836007130125
bankruptcy,gpt-4o,mlp,True,5,1,False,2,1,67/33,0,0.7878787878787878,0.7984189723320159
bankruptcy,gpt-4o,mlp,True,5,1,False,2,1,67/33,1,0.8819444444444444,0.8819444444444444
bankruptcy,gpt-4o,mlp,True,5,1,False,2,1,67/33,2,0.9545454545454546,0.9377289377289376
bankruptcy,gpt-4o,mlp,True,5,1,False,2,1,67/33,3,0.8285714285714285,0.8210526315789474
bankruptcy,gpt-4o,mlp,True,5,1,False,2,1,67/33,4,0.7152777777777778,0.7017543859649122
bankruptcy,gpt-o1,mlp,False,5,1,True,2,1,33/67,0,0.7368421052631579,0.6964285714285714
bankruptcy,gpt-o1,mlp,False,5,1,True,2,1,33/67,1,0.7743055555555556,0.7614035087719297
bankruptcy,gpt-o1,mlp,False,5,1,True,2,1,33/67,2,0.8614035087719298,0.8528138528138528
bankruptcy,gpt-o1,mlp,False,5,1,True,2,1,33/67,3,0.8392857142857143,0.8229166666666667
bankruptcy,gpt-o1,mlp,False,5,1,True,2,1,33/67,4,0.8403508771929824,0.8464317976513098
bankruptcy,gpt-o1,mlp,False,5,1,True,2,1,50/50,0,0.8666666666666667,0.8726655348047538
bankruptcy,gpt-o1,mlp,False,5,1,True,2,1,50/50,1,0.9198717948717948,0.9198717948717948
bankruptcy,gpt-o1,mlp,False,5,1,True,2,1,50/50,2,0.8506944444444444,0.8333333333333334
bankruptcy,gpt-o1,mlp,False,5,1,True,2,1,50/50,3,0.8116883116883117,0.8
bankruptcy,gpt-o1,mlp,False,5,1,True,2,1,50/50,4,0.7666666666666666,0.7771836007130125
bankruptcy,gpt-o1,mlp,False,5,1,True,2,1,67/33,0,0.7878787878787878,0.7984189723320159
bankruptcy,gpt-o1,mlp,False,5,1,True,2,1,67/33,1,0.8819444444444444,0.8819444444444444
bankruptcy,gpt-o1,mlp,False,5,1,True,2,1,67/33,2,0.9545454545454546,0.9377289377289376
bankruptcy,gpt-o1,mlp,False,5,1,True,2,1,67/33,3,0.8285714285714285,0.8210526315789474
bankruptcy,gpt-o1,mlp,False,5,1,True,2,1,67/33,4,0.7152777777777778,0.7017543859649122
bankruptcy,gpt-o1,mlp,False,5,1,False,2,1,33/67,0,0.6964912280701754,0.6739319965126417
bankruptcy,gpt-o1,mlp,False,5,1,False,2,1,33/67,1,0.7777777777777778,0.7571428571428571
bankruptcy,gpt-o1,mlp,False,5,1,False,2,1,33/67,2,0.8614035087719298,0.8528138528138528
bankruptcy,gpt-o1,mlp,False,5,1,False,2,1,33/67,3,0.8392857142857143,0.8229166666666667
bankruptcy,gpt-o1,mlp,False,5,1,False,2,1,33/67,4,0.8403508771929824,0.8464317976513098
bankruptcy,gpt-o1,mlp,False,5,1,False,2,1,50/50,0,0.8666666666666667,0.8726655348047538
bankruptcy,gpt-o1,mlp,False,5,1,False,2,1,50/50,1,0.9198717948717948,0.9198717948717948
bankruptcy,gpt-o1,mlp,False,5,1,False,2,1,50/50,2,0.8819444444444444,0.8726655348047538
bankruptcy,gpt-o1,mlp,False,5,1,False,2,1,50/50,3,0.8116883116883117,0.8
bankruptcy,gpt-o1,mlp,False,5,1,False,2,1,50/50,4,0.7666666666666666,0.7771836007130125
bankruptcy,gpt-o1,mlp,False,5,1,False,2,1,67/33,0,0.7878787878787878,0.7984189723320159
bankruptcy,gpt-o1,mlp,False,5,1,False,2,1,67/33,1,0.8819444444444444,0.8819444444444444
bankruptcy,gpt-o1,mlp,False,5,1,False,2,1,67/33,2,0.9545454545454546,0.9377289377289376
bankruptcy,gpt-o1,mlp,False,5,1,False,2,1,67/33,3,0.8285714285714285,0.8210526315789474
bankruptcy,gpt-o1,mlp,False,5,1,False,2,1,67/33,4,0.7152777777777778,0.7017543859649122
bankruptcy,gpt-o1,mlp,True,5,1,True,2,1,33/67,0,0.763157894736842,0.7294429708222812
bankruptcy,gpt-o1,mlp,True,5,1,True,2,1,33/67,1,0.9166666666666669,0.9116883116883115
bankruptcy,gpt-o1,mlp,True,5,1,True,2,1,33/67,2,0.8614035087719298,0.8528138528138528
bankruptcy,gpt-o1,mlp,True,5,1,True,2,1,33/67,3,0.8392857142857143,0.8229166666666667
bankruptcy,gpt-o1,mlp,True,5,1,True,2,1,33/67,4,0.8403508771929824,0.8464317976513098
bankruptcy,gpt-o1,mlp,True,5,1,True,2,1,50/50,0,0.8666666666666667,0.8726655348047538
bankruptcy,gpt-o1,mlp,True,5,1,True,2,1,50/50,1,0.875,0.8768472906403941
bankruptcy,gpt-o1,mlp,True,5,1,True,2,1,50/50,2,0.8576388888888888,0.8663101604278074
bankruptcy,gpt-o1,mlp,True,5,1,True,2,1,50/50,3,0.8116883116883117,0.8
bankruptcy,gpt-o1,mlp,True,5,1,True,2,1,50/50,4,0.7666666666666666,0.7771836007130125
